City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mangrol,IN,2020-08-23 06:36:47,21.12,70.12,81.34,86,100,22.48
70,Hobart,AU,2020-08-23 06:36:47,-42.88,147.33,50.0,81,40,10.29
71,Lagos,NG,2020-08-23 06:35:08,6.58,3.75,75.2,94,40,4.7
72,Nishiwaki,JP,2020-08-23 06:36:47,34.98,134.97,95.0,74,75,11.41
73,Barinas,VE,2020-08-23 06:36:47,8.62,-70.21,71.28,96,100,2.84
74,Coquimbo,CL,2020-08-23 06:36:48,-29.95,-71.34,50.0,93,100,9.17
75,Orocue,CO,2020-08-23 06:36:48,4.79,-71.34,72.91,93,100,4.63
76,Huarmey,PE,2020-08-23 06:36:48,-10.07,-78.15,60.44,83,91,4.43
77,Shingu,JP,2020-08-23 06:36:48,33.73,135.98,86.0,74,75,10.29
78,Batagay-Alyta,RU,2020-08-23 06:36:48,67.8,130.41,41.41,70,100,6.85
79,Egvekinot,RU,2020-08-23 06:35:05,66.32,-179.17,47.55,97,100,6.22
80,Inhambane,MZ,2020-08-23 06:36:49,-23.86,35.38,72.75,54,0,1.92
81,Businga,CD,2020-08-23 06:36:49,3.33,20.88,71.24,97,100,1.92
82,Port Alfred,ZA,2020-08-23 06:36:49,-33.59,26.89,61.23,76,29,12.12
83,Bengkulu,ID,2020-08-23 06:36:50,-3.8,102.27,85.42,70,17,6.96
84,Port-Gentil,GA,2020-08-23 06:26:58,-0.72,8.78,77.0,78,90,9.93
85,Baculin,PH,2020-08-23 06:36:51,7.45,126.58,85.71,66,58,8.72
86,Diapaga,BF,2020-08-23 06:36:51,12.07,1.79,73.29,89,0,8.28
87,Tonantins,BR,2020-08-23 06:36:51,-2.87,-67.8,65.07,77,0,2.04
88,Surt,LY,2020-08-23 06:36:51,31.21,16.59,82.17,60,0,9.04
89,Ruteng,ID,2020-08-23 06:36:52,-8.61,120.47,75.38,58,0,2.91
90,Geraldton,AU,2020-08-23 06:36:52,-28.77,114.6,68.0,68,75,11.41
91,Male,MV,2020-08-23 06:35:57,4.17,73.51,87.8,74,75,3.36
92,Tuktoyaktuk,CA,2020-08-23 06:36:52,69.45,-133.04,46.4,100,20,10.29
93,Tortoli,IT,2020-08-23 06:36:52,39.93,9.66,80.6,51,5,2.24
94,East London,ZA,2020-08-23 06:36:53,-33.02,27.91,60.8,63,0,8.05
95,Paamiut,GL,2020-08-23 06:36:53,61.99,-49.67,42.3,88,49,9.08
96,Mount Isa,AU,2020-08-23 06:36:54,-20.73,139.5,75.2,14,0,10.29
97,Krasnoarmeysk,RU,2020-08-23 06:36:54,51.02,45.7,64.0,51,0,7.0
98,Lashio,MM,2020-08-23 06:36:54,22.93,97.75,85.03,62,61,3.67
99,Port Blair,IN,2020-08-23 06:36:55,11.67,92.75,85.51,72,100,12.33
100,Airai,TL,2020-08-23 06:36:55,-8.93,125.41,75.63,37,11,7.87
101,Belyy Yar,RU,2020-08-23 06:36:55,53.6,91.39,69.8,64,100,4.47
102,Greytown,ZA,2020-08-23 06:36:56,-29.06,30.59,65.14,26,0,2.89
103,Longkou,CN,2020-08-23 06:36:56,37.65,120.33,79.86,75,93,0.29
104,Aklavik,CA,2020-08-23 06:36:56,68.22,-135.01,55.4,82,20,5.82
105,San Cristobal,VE,2020-08-23 06:36:56,7.77,-72.22,63.91,89,96,3.27
106,Tiksi,RU,2020-08-23 06:36:57,71.69,128.87,41.25,93,100,2.59
107,Bilma,NE,2020-08-23 06:36:57,18.69,12.92,93.67,34,7,11.41
108,Evensk,RU,2020-08-23 06:36:57,61.95,159.23,53.58,55,99,8.52
109,Victoria,HK,2020-08-23 06:33:34,22.29,114.16,91.4,55,20,8.05
110,Ust-Uda,RU,2020-08-23 06:33:04,54.17,103.03,61.72,72,100,11.12
111,Mahanje,TZ,2020-08-23 06:36:58,-9.93,35.33,68.18,64,100,4.83
112,Khatanga,RU,2020-08-23 06:36:58,71.97,102.5,67.42,45,0,10.74
113,Naze,JP,2020-08-23 06:36:58,28.37,129.48,77.0,94,75,13.87
114,Waipawa,NZ,2020-08-23 06:36:58,-41.41,175.52,55.4,87,100,3.36
115,Rio Gallegos,AR,2020-08-23 06:36:59,-51.62,-69.22,33.8,80,100,11.41
116,Teahupoo,PF,2020-08-23 06:36:59,-17.83,-149.27,77.0,69,20,5.82
117,Castro,BR,2020-08-23 06:36:59,-24.79,-50.01,43.61,91,87,11.1
118,Leh,IN,2020-08-23 06:37:00,34.17,77.58,70.54,19,0,1.34
119,Cherskiy,RU,2020-08-23 06:37:00,68.75,161.3,36.01,95,100,19.04
120,Ilulissat,GL,2020-08-23 06:37:00,69.22,-51.1,37.4,86,0,5.93
121,Bayanday,RU,2020-08-23 06:37:00,53.07,105.51,61.23,80,100,10.29
122,Beloha,MG,2020-08-23 06:37:01,-25.17,45.05,74.91,52,0,11.1
123,Saint-Philippe,RE,2020-08-23 06:37:01,-21.36,55.77,77.0,61,0,20.8
124,Ancud,CL,2020-08-23 06:37:01,-41.87,-73.82,46.99,100,90,8.05
125,Mahebourg,MU,2020-08-23 06:37:02,-20.41,57.7,73.4,69,75,12.75
126,Margate,GB,2020-08-23 06:32:33,51.38,1.39,62.01,64,26,8.01
127,Isangel,VU,2020-08-23 06:37:02,-19.55,169.27,80.6,78,20,5.82
128,Chuy,UY,2020-08-23 06:37:02,-33.7,-53.46,43.65,80,0,5.86
129,Hearst,CA,2020-08-23 06:37:03,49.68,-83.67,52.27,96,36,6.33
130,Strezhevoy,RU,2020-08-23 06:37:03,60.73,77.59,59.0,77,40,6.71
131,Atambua,ID,2020-08-23 06:37:03,-9.11,124.89,83.88,42,0,4.07
132,Beringovskiy,RU,2020-08-23 06:37:03,63.05,179.32,54.23,83,16,10.69
133,Nouakchott,MR,2020-08-23 06:37:03,18.09,-15.98,82.4,78,54,20.8
134,Torbay,CA,2020-08-23 06:37:04,47.67,-52.73,57.99,93,20,12.75
135,Vostok,RU,2020-08-23 06:37:04,46.49,135.88,70.74,56,45,5.95
136,Jalu,LY,2020-08-23 06:37:04,29.03,21.55,79.79,50,0,11.48
137,Port Elizabeth,ZA,2020-08-23 06:37:04,-33.92,25.57,59.0,82,50,9.17
138,Fortuna,US,2020-08-23 06:37:02,40.6,-124.16,57.99,100,90,3.36
139,Nanortalik,GL,2020-08-23 06:37:05,60.14,-45.24,43.23,82,0,0.89
140,Ribeira Grande,PT,2020-08-23 06:37:05,38.52,-28.7,73.4,94,75,4.7
141,Cabedelo,BR,2020-08-23 06:37:05,-6.98,-34.83,69.8,100,100,2.24
142,Provideniya,RU,2020-08-23 06:37:05,64.38,-173.3,50.02,88,95,5.1
143,Narsaq,GL,2020-08-23 06:33:13,60.92,-46.05,39.2,86,0,4.7
144,Gizo,SB,2020-08-23 06:37:06,-8.1,156.84,82.74,79,97,13.02
145,Sarande,AL,2020-08-23 06:37:06,39.88,20.01,82.99,68,0,0.83
146,Karratha,AU,2020-08-23 06:37:07,-20.74,116.85,89.19,16,42,10.31
147,Bako,ET,2020-08-23 06:37:07,5.78,36.57,65.98,79,100,3.31
148,Havelock,US,2020-08-23 06:33:09,34.88,-76.9,80.6,78,20,10.29
149,Bentiu,SS,2020-08-23 06:37:07,9.23,29.83,81.45,81,78,4.32
150,Dikson,RU,2020-08-23 06:33:03,73.51,80.55,49.3,73,93,9.98
151,Tighina,MD,2020-08-23 06:37:08,46.83,29.47,69.8,64,0,4.7
152,Nouadhibou,MR,2020-08-23 06:37:08,20.93,-17.03,73.4,83,31,6.93
153,Thompson,CA,2020-08-23 06:37:08,55.74,-97.86,48.2,81,90,5.82
154,Nushki,PK,2020-08-23 06:37:09,29.55,66.02,96.94,28,40,5.88
155,Manolas,GR,2020-08-23 06:37:09,38.05,21.35,80.6,54,0,5.82
156,Erenhot,CN,2020-08-23 06:37:09,43.65,111.98,79.61,35,100,10.96
157,New Norfolk,AU,2020-08-23 06:37:09,-42.78,147.06,50.0,89,96,3.49
158,Sahuaripa,MX,2020-08-23 06:37:10,29.05,-109.23,72.43,79,95,4.41
159,Cabra,ES,2020-08-23 06:37:10,37.47,-4.44,72.0,46,0,0.96
160,Concepcion Del Oro,MX,2020-08-23 06:37:10,24.63,-101.42,61.61,58,0,4.65
161,Kaitangata,NZ,2020-08-23 06:37:10,-46.28,169.85,52.0,87,99,17.0
162,Imbituba,BR,2020-08-23 06:37:11,-28.24,-48.67,50.0,93,5,4.7
163,Nicoya,CR,2020-08-23 06:37:11,10.15,-85.45,73.31,94,100,3.87
164,Yulara,AU,2020-08-23 06:37:11,-25.24,130.99,78.8,14,0,4.7
165,Zhigansk,RU,2020-08-23 06:37:12,66.77,123.37,51.28,52,88,19.22
166,Sao Filipe,CV,2020-08-23 06:37:12,14.9,-24.5,78.28,80,39,4.38
167,Komsomolskiy,UZ,2020-08-23 06:37:12,40.43,71.72,89.6,24,0,6.93
168,Cidreira,BR,2020-08-23 06:37:12,-30.18,-50.21,53.24,83,0,8.12
169,Tuy Hoa,VN,2020-08-23 06:37:13,13.08,109.3,90.97,58,98,6.58
170,Caravelas,BR,2020-08-23 06:37:13,-17.71,-39.25,69.64,82,100,15.17
171,Ust-Shonosha,RU,2020-08-23 06:37:13,61.15,41.34,68.79,68,96,6.64
172,Sim,RU,2020-08-23 06:34:52,54.99,57.7,56.62,80,100,3.44
173,Muros,ES,2020-08-23 06:37:14,42.78,-9.06,57.99,93,0,5.23
174,Babayurt,RU,2020-08-23 06:37:14,43.6,46.78,76.46,41,100,9.91
175,Bubaque,GW,2020-08-23 06:37:14,11.28,-15.83,79.9,84,90,15.39
176,Chokurdakh,RU,2020-08-23 06:37:14,70.63,147.92,40.01,71,100,9.84
177,Meulaboh,ID,2020-08-23 06:37:15,4.14,96.13,85.39,61,36,6.89
178,Dingle,PH,2020-08-23 06:37:15,11.0,122.67,87.3,69,100,5.99
179,Rock Sound,BS,2020-08-23 06:37:15,24.9,-76.2,83.8,82,58,19.8
180,Bijie,CN,2020-08-23 06:37:15,27.31,105.29,79.88,66,17,13.62
181,Clyde River,CA,2020-08-23 06:37:16,70.47,-68.59,43.45,88,99,7.0
182,Ola,RU,2020-08-23 06:33:03,59.58,151.28,54.0,52,98,3.24
183,Guarapuava,BR,2020-08-23 06:33:26,-25.4,-51.46,39.2,90,0,6.17
184,Tasiilaq,GL,2020-08-23 06:37:16,65.61,-37.64,46.4,87,0,5.82
185,Pamatawan,PH,2020-08-23 06:37:16,14.93,120.21,87.8,70,20,10.29
186,Jamestown,US,2020-08-23 06:36:46,42.1,-79.24,64.4,88,40,3.36
187,Sitka,US,2020-08-23 06:37:17,57.05,-135.33,57.2,93,90,1.28
188,Cabo San Lucas,MX,2020-08-23 06:32:39,22.89,-109.91,82.0,69,4,1.01
189,Dordrecht,NL,2020-08-23 06:37:17,51.81,4.67,62.01,88,66,5.99
190,Spencer,US,2020-08-23 06:37:17,43.14,-95.14,68.0,88,1,2.44
191,Portland,US,2020-08-23 06:33:54,45.52,-122.68,66.99,72,0,6.15
192,Viedma,AR,2020-08-23 06:37:18,-40.81,-63.0,50.0,41,0,8.01
193,Kirakira,SB,2020-08-23 06:37:18,-10.45,161.92,80.71,82,100,13.47
194,Saint-Joseph,RE,2020-08-23 06:37:18,-21.37,55.62,77.0,61,0,20.8
195,Lysa Hora,UA,2020-08-23 06:37:19,48.17,31.11,73.51,41,0,7.67
196,Yatou,CN,2020-08-23 06:37:19,37.15,122.38,80.28,81,10,8.43
197,Bambanglipuro,ID,2020-08-23 06:37:19,-7.95,110.28,83.07,68,85,16.04
198,Plastun,RU,2020-08-23 06:37:20,44.76,136.29,72.19,58,100,4.59
199,Henties Bay,NA,2020-08-23 06:37:21,-22.12,14.28,61.0,40,0,5.44
200,Pacific Grove,US,2020-08-23 06:37:21,36.62,-121.92,57.0,97,4,2.37
201,Vila Franca Do Campo,PT,2020-08-23 06:37:21,37.72,-25.43,66.2,88,20,2.71
202,Takab,IR,2020-08-23 06:37:21,36.4,47.11,75.67,20,0,14.25
203,Baruun-Urt,MN,2020-08-23 06:37:22,46.68,113.28,75.34,48,99,9.8
204,Krutinka,RU,2020-08-23 06:37:22,56.01,71.51,58.46,80,97,9.17
205,Icatu,BR,2020-08-23 06:37:22,-2.78,-44.07,78.8,88,75,3.36
206,Batemans Bay,AU,2020-08-23 06:37:23,-35.72,150.18,57.99,67,28,5.99
