City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
72,Punta Arenas,CL,-53.15,-70.92,32.0,82,13,10.29,few clouds
73,Nome,US,64.5,-165.41,53.6,76,90,9.17,overcast clouds
74,Wanning,CN,18.8,110.4,88.52,64,82,12.5,broken clouds
75,Bluff,NZ,-46.6,168.33,52.23,84,54,1.81,broken clouds
76,Hilo,US,19.73,-155.09,82.4,69,75,9.17,broken clouds
77,Constitucion,CL,-35.33,-72.42,50.65,82,100,14.23,overcast clouds
78,Kilindoni,TZ,-7.91,39.67,75.97,74,80,7.65,broken clouds
79,Enshi,CN,30.3,109.48,89.06,64,51,1.54,light rain
80,East London,ZA,-33.02,27.91,51.8,87,100,5.82,overcast clouds
81,Naze,JP,28.37,129.48,82.4,88,75,25.28,light rain
82,San Andres,CO,12.58,-81.7,78.8,94,20,2.24,few clouds
83,Airai,TL,-8.93,125.41,76.66,36,0,7.74,clear sky
84,Barcelos,PT,41.54,-8.62,64.99,100,0,3.27,clear sky
85,Busselton,AU,-33.65,115.33,59.0,71,4,1.99,clear sky
86,Saint-Augustin,CA,51.23,-58.65,54.09,81,50,8.39,scattered clouds
87,Halifax,CA,44.65,-63.57,66.0,71,90,1.01,overcast clouds
88,Kaeo,NZ,-35.1,173.78,57.99,3,63,10.0,light rain
89,Linxia,CN,35.6,103.21,71.69,43,0,2.51,clear sky
90,Otane,NZ,-39.88,176.63,51.01,82,100,13.0,light rain
91,Puerto Ayora,EC,-0.74,-90.35,66.0,88,23,1.99,few clouds
92,Lokomotivnyy,RU,53.01,60.57,57.38,73,2,9.46,clear sky
93,Ballina,AU,-28.87,153.57,69.01,38,0,6.93,clear sky
94,Palmer,US,42.16,-72.33,68.0,94,40,3.04,scattered clouds
95,Klaksvik,FO,62.23,-6.59,44.6,93,97,1.12,light rain
96,Carnarvon,AU,-24.87,113.63,71.6,53,0,17.22,clear sky
97,Arman,RU,59.7,150.17,55.51,43,15,7.09,few clouds
98,South Lake Tahoe,US,38.93,-119.98,78.01,38,1,3.06,haze
99,Jamestown,US,42.1,-79.24,68.0,93,1,4.7,clear sky
100,Voyvozh,RU,62.89,54.96,56.55,84,100,5.17,light rain
101,Dvinskoy,RU,62.15,45.12,59.97,92,99,6.35,overcast clouds
102,Lata,PT,40.16,-8.33,66.0,85,7,2.82,clear sky
103,Saskylakh,RU,71.92,114.08,56.3,49,0,13.02,clear sky
104,Ostrovnoy,RU,68.05,39.51,57.2,84,4,19.57,clear sky
105,Baykit,RU,61.67,96.37,66.94,58,12,4.61,light rain
106,Alice Springs,AU,-23.7,133.88,80.6,14,0,11.41,clear sky
107,Litovko,RU,49.24,135.17,69.04,86,100,6.55,light rain
108,Butajira,ET,8.12,38.37,57.0,81,40,3.22,scattered clouds
109,Urumqi,CN,43.8,87.6,82.4,28,87,4.47,overcast clouds
110,Ponta Do Sol,PT,32.67,-17.1,75.2,60,20,19.46,few clouds
111,Alekseyevsk,RU,57.84,108.35,71.17,44,0,5.53,clear sky
112,Omsukchan,RU,62.53,155.8,36.43,88,100,7.58,overcast clouds
113,Belchatow,PL,51.37,19.36,60.01,93,16,1.01,few clouds
114,Saint Anthony,US,45.02,-93.22,78.01,73,1,2.68,clear sky
115,Catalina Foothills,US,32.3,-110.92,98.01,26,1,12.75,clear sky
116,Kavieng,PG,-2.57,150.8,76.6,88,100,4.16,light rain
117,Viedma,AR,-40.81,-63.0,54.0,52,0,5.01,clear sky
118,Elat,IL,29.56,34.95,82.4,61,0,6.93,clear sky
