City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,Abha,SA,71.6,broken clouds,18.22,42.51,Abha Hotel
521,Russell,US,75.2,clear sky,32.35,-85.2,Macs
523,Jalu,LY,73.31,clear sky,29.03,21.55,Jalu Hotel
525,Xinmin,CN,71.6,light rain,41.99,122.83,Agricultural Machinery Hotel
527,Sarh,TD,73.4,light rain,9.14,18.39,Hôtel des Chasses
530,San Jose,US,75.99,smoke,37.34,-121.89,The Westin San Jose
544,Jacqueville,CI,75.2,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
545,Teguise,ES,73.4,clear sky,29.06,-13.56,B&B La Casona de Nazaret
551,Wheeling,US,75.0,clear sky,42.14,-87.93,The Westin Chicago North Shore
554,Arraias,BR,71.62,few clouds,-12.93,-46.94,Hotel Japão
562,Islahiye,TR,72.0,clear sky,37.02,36.63,İslahiye Sabanci Teachers
563,Contramaestre,CU,77.0,light rain,20.3,-76.24,Hotel Caribeño
565,Guiratinga,BR,70.59,clear sky,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
567,Kingsport,US,72.0,broken clouds,36.55,-82.56,MeadowView Conference Resort & Convention Center
570,Maryville,US,75.99,broken clouds,35.76,-83.97,Holiday Inn Express & Suites Alcoa (Knoxville Airport)
571,Niquelandia,BR,70.63,broken clouds,-14.47,-48.46,Hotel Suinã
574,Harper,LR,75.65,overcast clouds,4.38,-7.72,Screensaver
580,Chifeng,CN,77.0,overcast clouds,42.27,118.96,Junyu Tiancheng Hotel
588,Antsohihy,MG,70.11,broken clouds,-14.88,47.99,Hotel de Ville
593,Gazanjyk,TM,75.2,broken clouds,39.24,55.52,Railway motel
595,Embonas,GR,77.0,clear sky,36.23,27.86,Hotel Ataviros
598,Kawalu,ID,77.94,light rain,-7.38,108.21,KOSAN UNGU UNSIK
604,Vigia Del Fuerte,CO,74.28,overcast clouds,6.58,-76.89,"Hotel ""El Parque"""
607,Natal,BR,73.4,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
612,Axim,GH,73.36,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
619,Cap Malheureux,MU,72.0,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
624,Quatre Cocos,MU,72.0,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
636,La Mana,EC,73.81,broken clouds,-0.93,-79.22,Hotel Somagg
649,Carutapera,BR,75.94,few clouds,-1.2,-46.02,Lidera
653,Khawhai,IN,74.43,moderate rain,23.37,93.12,Homestay Khawhai
655,Yeppoon,AU,75.2,clear sky,-23.13,150.73,Villa Mar Colina
665,Takoradi,GH,72.86,scattered clouds,4.88,-1.76,Raybow International Hotel
673,Gannan,CN,74.26,light rain,47.91,123.5,Gannan Supply and Marketing Cooperatives Hostel
678,Grants,US,75.2,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
682,Savalou,BJ,70.29,overcast clouds,7.93,1.98,Hotel F&F
684,Beachwood,US,75.99,clear sky,41.46,-81.51,DoubleTree by Hilton Hotel Cleveland East Beachwood
